[  212935.305630] EV_KEY       BTN_TOUCH            DOWN                
[  212935.305755] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.305789] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.305810] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.305839] EV_ABS       ABS_MT_POSITION_X    0000046d            
[  212935.305867] EV_ABS       ABS_MT_POSITION_Y    000001f4            
[  212935.305896] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.305920] EV_SYN       SYN_REPORT           00000000            
[  212935.482823] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.482867] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.482872] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.482878] EV_ABS       ABS_MT_POSITION_X    00000482            
[  212935.482883] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.482888] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.482892] EV_SYN       SYN_REPORT           00000000            
[  212935.492804] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.492835] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.492840] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.492845] EV_ABS       ABS_MT_POSITION_X    00000487            
[  212935.492851] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.492856] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.492860] EV_SYN       SYN_REPORT           00000000            
[  212935.502707] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.502742] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.502747] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.502752] EV_ABS       ABS_MT_POSITION_X    0000048b            
[  212935.502757] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.502762] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.502767] EV_SYN       SYN_REPORT           00000000            
[  212935.512696] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.512730] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.512735] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.512741] EV_ABS       ABS_MT_POSITION_X    0000048e            
[  212935.512746] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.512751] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.512756] EV_SYN       SYN_REPORT           00000000            
[  212935.522605] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.522626] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.522631] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.522636] EV_ABS       ABS_MT_POSITION_X    00000491            
[  212935.522641] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.522646] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.522650] EV_SYN       SYN_REPORT           00000000            
[  212935.532657] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.532687] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.532692] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.532699] EV_ABS       ABS_MT_POSITION_X    00000494            
[  212935.532704] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.532709] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.532714] EV_SYN       SYN_REPORT           00000000            
[  212935.542614] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.542637] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.542642] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.542648] EV_ABS       ABS_MT_POSITION_X    00000497            
[  212935.542653] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.542658] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.542662] EV_SYN       SYN_REPORT           00000000            
[  212935.552553] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.552586] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.552590] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.552596] EV_ABS       ABS_MT_POSITION_X    0000049a            
[  212935.552601] EV_ABS       ABS_MT_POSITION_Y    000001f0            
[  212935.552606] EV_SYN       SYN_MT_REPORT        00000000            
